_idx,Rubrique,issues,_page
2,Primes de remboursement des obligations,missing_Net_Exercice_Prec,1
3,Immobilisations en recherche et développement,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice_Prec",1
4,"Brevets, marques, droits, et vvaleurs similaires","missing_Montant_Brut,missing_Amortissements_Provisions",1
5,Fonds commercial,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
6,Autres immobilisations incorporelles,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
9,"Installations techniques, matériel et outillage","missing_Net_Exercice,missing_Net_Exercice_Prec",1
12,Autres immobilisations corporelles,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
13,Immobilisations corporelles en cours,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
16,Titres de participation,"missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
17,Autres titres immobilisés,"missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
18,Diminution des créances immobilisées,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
19,Augmentation des dettes financières,"missing_Montant_Brut,missing_Amortissements_Provisions,missing_Net_Exercice,missing_Net_Exercice_Prec",1
21,Marchandises,missing_Amortissements_Provisions,1
22,Matières et fournitures consommables,missing_Amortissements_Provisions,1
24,"Produits intermédiaires, et produits résiduels","missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
29,Etat - débiteur,"missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
31,Autres débiteurs,"missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
32,Comptes de régularis. actifs,"missing_Montant_Brut,missing_Net_Exercice,missing_Net_Exercice_Prec",1
35,"Banque, T.G. et C.C.P.",missing_Amortissements_Provisions,1
36,"Caisse, Régies d'avances et accréditifs",missing_Amortissements_Provisions,1
